X	Y	Clock(450,820)
0	0	0
0	0	1
1	0	1
1	0	0
1	0	1
1	0	0
1	0	1
1	0	0
1	0	1
0	0	1
0	0	0
0	0	1
0	0	0
1	0	0
1	1	1
1	1	0
1	0	1
1	0	0
0	0	0
0	0	1
0	0	0
0	0	1
0	0	0
0	0	1
1	0	1
1	0	0
1	0	1
1	0	0
1	0	1
1	0	0
1	0	1
0	0	1
0	0	0
0	0	1
0	0	0
0	0	1
1	0	1
1	0	0
1	0	1
1	0	0
1	0	1
0	0	1
0	0	0
0	0	1
0	0	0
0	0	1
0	0	0
0	0	1
